race_id,model_a,model_b,n_valid,pearson,spearman,disagree_rate,total_disagree,a_not_b,b_not_a
9,gru,lstm,696,0.9452871169384125,0.758061750273259,0.008620689655172414,6,4,2
9,gru,tcn,696,0.8696552870782042,0.4092489803734117,0.007183908045977011,5,5,0
9,gru,tcn_gru,696,0.8639166666635342,0.16435860958489926,0.007183908045977011,5,5,0
9,lstm,tcn,696,0.9005395790493544,0.5110557811110238,0.004310344827586207,3,3,0
9,lstm,tcn_gru,696,0.9025887241996615,0.17943118023268026,0.004310344827586207,3,3,0
9,tcn,tcn_gru,696,0.9950595340032364,0.36515199456721176,0.0,0,0,0
10,gru,lstm,560,0.8926033748147735,0.7750020840992115,0.026785714285714284,15,9,6
10,gru,tcn,560,0.7881758148707574,0.7140837274900202,0.044642857142857144,25,21,4
10,gru,tcn_gru,560,0.857072185872763,0.6093589720812704,0.030357142857142857,17,10,7
10,lstm,tcn,560,0.8831273648181661,0.7006397842923152,0.02857142857142857,16,15,1
10,lstm,tcn_gru,560,0.9516066228729946,0.6678296395806657,0.010714285714285714,6,3,3
10,tcn,tcn_gru,560,0.8898604507723067,0.7297164531774656,0.03214285714285714,18,2,16
11,gru,lstm,477,0.7695953618310822,0.7489415913203522,0.03563941299790356,17,16,1
11,gru,tcn,477,0.784937479717869,0.6788496720232262,0.025157232704402517,12,11,1
11,gru,tcn_gru,477,0.7394511544856045,0.5291168808251175,0.039832285115303984,19,12,7
11,lstm,tcn,477,0.8846605377910993,0.6136499282747755,0.018867924528301886,9,2,7
11,lstm,tcn_gru,477,0.8251354819657203,0.6034555923893201,0.029350104821802937,14,2,12
11,tcn,tcn_gru,477,0.863852137766832,0.6134589779702833,0.018867924528301886,9,2,7
12,gru,lstm,670,0.9152389217853711,0.8145492888022247,0.03582089552238806,24,17,7
12,gru,tcn,670,0.8467422449922896,0.5633389194717304,0.03731343283582089,25,19,6
12,gru,tcn_gru,670,0.8108113085206202,0.5382090569653453,0.04029850746268657,27,20,7
12,lstm,tcn,670,0.8361439235877226,0.5883157308962196,0.04328358208955224,29,16,13
12,lstm,tcn_gru,670,0.8161577211399524,0.6483975769172955,0.04328358208955224,29,16,13
12,tcn,tcn_gru,670,0.8071144751545927,0.5955200240668438,0.041791044776119404,28,14,14
13,gru,lstm,696,0.8685404515329441,0.7902684254417077,0.04454022988505747,31,25,6
13,gru,tcn,696,0.6980807237466808,0.6659715397918642,0.0617816091954023,43,27,16
13,gru,tcn_gru,696,0.731542972165084,0.604106125874544,0.06465517241379311,45,20,25
13,lstm,tcn,696,0.7244579715042694,0.7777094803650476,0.04597701149425287,32,12,20
13,lstm,tcn_gru,696,0.711608789360414,0.652214242063036,0.06609195402298851,46,11,35
13,tcn,tcn_gru,696,0.7699218709620959,0.7006772121510233,0.04310344827586207,30,7,23
14,gru,lstm,528,0.8778171748652205,0.6653412902117093,0.03409090909090909,18,17,1
14,gru,tcn,528,0.7595534477685216,0.3503518376788986,0.030303030303030304,16,11,5
14,gru,tcn_gru,528,0.7532469803701125,0.3799431979190071,0.03787878787878788,20,15,5
14,lstm,tcn,528,0.7922765282433091,0.5082052251131787,0.030303030303030304,16,3,13
14,lstm,tcn_gru,528,0.8054659587764996,0.5400489073776183,0.022727272727272728,12,3,9
14,tcn,tcn_gru,528,0.891358181296409,0.6336552737498994,0.01893939393939394,10,7,3
15,gru,lstm,529,0.8076431696250027,0.8222354713090171,0.05103969754253308,27,25,2
15,gru,tcn,529,0.5941483577761821,0.579587282389829,0.07561436672967864,40,25,15
15,gru,tcn_gru,529,0.6760028268725695,0.5496516778153544,0.08128544423440454,43,18,25
15,lstm,tcn,529,0.68494838614697,0.6356564539715376,0.05103969754253308,27,7,20
15,lstm,tcn_gru,529,0.7421990758076352,0.6295169208221603,0.05671077504725898,30,0,30
15,tcn,tcn_gru,529,0.6809472525585695,0.763222300401742,0.07372400756143667,39,11,28
16,gru,lstm,699,0.9355414060266836,0.8511522981488671,0.020028612303290415,14,6,8
16,gru,tcn,699,0.6920518630510444,0.6505166201409298,0.058655221745350504,41,35,6
16,gru,tcn_gru,699,0.7975284100927925,0.561095184805848,0.04005722460658083,28,18,10
16,lstm,tcn,699,0.6897231570081269,0.6719581039986366,0.06151645207439199,43,37,6
16,lstm,tcn_gru,699,0.7773878483216011,0.6027871522208499,0.05150214592274678,36,23,13
16,tcn,tcn_gru,699,0.7705744064721536,0.564693448391568,0.044349070100143065,31,5,26
17,gru,lstm,780,0.9629716378440647,0.720160542417318,0.0038461538461538464,3,1,2
17,gru,tcn,780,0.8136265746662876,0.26016863680173447,0.01282051282051282,10,10,0
17,gru,tcn_gru,780,0.8982275349459605,0.2813919306750492,0.008974358974358974,7,6,1
17,lstm,tcn,780,0.811492616886601,0.3859304123167148,0.014102564102564103,11,11,0
17,lstm,tcn_gru,780,0.8878543624124835,0.22980561718922565,0.010256410256410256,8,7,1
17,tcn,tcn_gru,780,0.7646303830893899,0.39467186703260404,0.014102564102564103,11,3,8
